vid,title,t_end
v03265g10002cccrlsg1rni5du7ccjeg,【发刊词】梁文道：新《八分》，我继续陪你读到世界尽头,
v03265g10002cccse0rkutmajrtk15hg,【推荐语】窦文涛：我保证《八分》会给咱们“十分”的收获,
v03265g10002cccse0qh3be9vs2845i0,【推荐语】陈丹青：他满腹经纶又会说话，是媒体人兼书生的典型,
v03265g10002cccse0rkutmajrtk15ig,【推荐语】许子东：《八分》关心社会时事，讲出你预想不到的层面,
v02265g10002cccse10mjg8vbhnslur0,【推荐语】蒋方舟：作为道长的读者，听到新《八分》特别满足,
v02265g10002cccse12r686qbamp25o0,【预告】愚人节不愚人——新《八分》现场版,
v02265g10002cccse18mjg8vbhnslusg,【预告】唯有他敢给“五·四”爱国热情泼冷水,
v0d265g10002cccse19abc6lp42phqcg,【预告】“高校性骚扰”的本质是一种贪污腐败！,
v02265g10002cccse1b0h3e41t2eteo0,【番外对谈】梁文道×许子东：为什么中国人看世界杯总说是“假球”？,
v02265g10002cccse12r686qbamp25og,01.疫苗事件：你的生命取决于他人的选择,
v0d265g10002cccse1f8v1n1s3nrcre0,02.举报性骚扰，是一次社会的“集体呼救”,
v02265g10002cccse1ir686qbamp25q0,03.电影《小偷家族》：真正的艺术，让我们了解生活的灰度,
v03265g10002cccse181rni5du7ccomg,04. 瞧瞧人家这邻居！挪威送“一座山”为芬兰庆生,
v0d265g10002cccse1n8v1n1s3nrcreg,05.再谈《小偷家族》：家庭——折射社会边缘的真相,
v02265g10002cccse1qr686qbamp25qg,06.“生娃”是家事也是国事吗？,
v02265g10002cccse1j0h3e41t2eteog,07.如何看待艺术家的道德品行和艺术成就？谈去世诺奖作家奈保尔,
v03265g10002cccse1jkutmajrtk15jg,08.宗教与性侵：你生命的老师也是尚未到达彼岸的人,
v02265g10002cccse20ijgv73ie33ss0,09.“生育基金”被骂，什么才是有效提高生育的政策？,
v02265g10002cccse2cg3monqh2vqvlg,10.那些留长发唱歌的年轻人危险吗？来听道长爱的先锋音乐,
v03265g10002cccse2g1rni5du7ccong,11.教育制度的公平何在？——从两堵“无知的墙”谈起,
v02265g10002cccshocg3monqh2vr1dg,12.从语言，看英美文化的爱恨情仇,
v0d265g10002cccsho78v1n1s3nrcthg,【番外篇】梁文道：我当然喜欢哆啦A梦，谁不喜欢啊？,
v02265g10002cccshocg3monqh2vr1e0,13.宫斗剧VS新清史——乾隆真的是停滞中国的代言人吗？,
v02265g10002cccsho30h3e41t2etg8g,14.无处不广告，电视台不靠广告能生存吗？,
v02265g10002cccsho30h3e41t2etg80,15.人类文明的遗失时刻——博物馆珍藏历史更启示未来,
v02265g10002cccshoar686qbamp27bg,16.《进击的巨人》是怎样一部“神作”？,
v02265g10002cccshq2r686qbamp27e0,17. “中国游客”不代表“中国”,
v02265g10002cccshq2r686qbamp27eg,【番外对谈】李诞VS梁文道：理想太远现实太累，生命和生计哪个重要？,
v02265g10002cccshq4g3monqh2vr1ig,18. “甲壳虫”停产：这么萌的汽车是希特勒发明的！？,
v02265g10002cccshq0mjg8vbhnsm0j0,19.梁文道悼念高锟校长：没有你，我不会有今天！,
v02265g10002cccshqgmjg8vbhnsm0jg,20.历史上的民营资本，经历过怎样的巨大波折？,
v02265g10002cccsin8mjg8vbhnsm110,21.如何在家环游世界？——假期卧游指南（上）,
v02265g10002cccsinr0h3e41t2etgtg,22.把自己的房间当作旅游景点？——假期卧游指南（下）,
v0d265g10002cccsion8v1n1s3nrcub0,23.学生会如官场？——中国权力文化的独特,
v0d265g10002cccsion8v1n1s3nrcuc0,【番外对谈】贾樟柯《江湖儿女》：我们都是无辜卷入时代的炮灰,
v0d265g10002cccsjk9abc6lp42phu20,24.班克斯自毁名画是炒作？当颠覆艺术的作品成为经典,
v02265g10002cccsjlj0h3e41t2ethe0,25.从“转发锦鲤”到“虚构宗教”,
v02265g10002cccsjmquktkhvr2l7m6g,26.你见过报道未来的报纸么？——那些阴谋论横行的国度,
v0d265g10002cccsjn78v1n1s3nrcun0,27.重度书痴的最“奇”书单,
v0d265g10002cccsjnpabc6lp42phubg,28.被砍头的“北大”校长,
v02265g10002cccskjauktkhvr2l7mm0,29.万圣节：为什么人类相信有鬼？,
v0d265g10002cccskjv8v1n1s3nrcv8g,30.梁文道：摩洛哥伤心故事之旅,
v0d265g10002cccslgv8v1n1s3nrcvq0,31.非洲人莱昂与他的奇妙旅程,
v0d265g10002cccsmghabc6lp42pi0bg,32.你永远是个局外人——田野调查反思,
v03265g10002cccsndhb0aqvkobpl6k0,33.当今中美局势与100年前的一战,
v03265g10002cccsndjghao71ec1vv10,【番外对谈】陈晓卿：老男人饭局大揭秘,
v03265g10002cccsne81rni5du7ccpt0,34.你的大脑只有1GB存储量？！,
v0d265g10002cccsob78v1n1s3nrd2n0,35.酒店是民主的根基？,
v03265g10002cccsocioktor4971fjeg,36.豪华酒店和大文豪们的八卦故事,
v02265g10002cccsp8r0h3e41t2etjjg,37.公投的学问：少数服从多数就是正义吗？,
v02265g10002cccspacg3monqh2vr540,38.“基因编辑”究竟违反了什么伦理问题？,
v03265g10002cccsq681rni5du7ccq80,39.纪念贝托鲁奇：电影中随大流的不幸者,
v02265g10002cccsq6kg3monqh2vr5eg,40.夏目漱石《我是猫》：从猫的角度看世界,
v02265g10002cccsq8qr686qbamp2c70,41.《世界人权宣言》里的中国智慧和温度,
v0d265g10002cccsr4v8v1n1s3nrd4vg,42.俄国人因康德“打架”原因为何？,
v0d265g10002cccsr79abc6lp42pi3l0,43. 科技能改变教育不公？一块屏幕背后的社会条件,
